LandisData  Species										
										
>>                      Sexual    Shade  Fire  Seed Disperal Dist  Vegetative   Sprout Age  Post-Fire										
>> Name      Longevity  Maturity  Tol.   Tol.  Effective  Maximum  Reprod Prob  Min   Max   Regen										
>> ----      ---------  --------  -----  ----  ---------  -------  -----------  ----------  --------										
ABBA		200	25	   5	  1	60	     160	0	0	0	none
ACRU		150	10	   3	  1     30           250	0.4	1	100	resprout		
ACSA3		400	22	   5	  1	10	     100	0.3	0	100	none
ACSP2		50	5	   3	  1     30	     250        0.5     1       50      resprout
ALIN2		100	5	   2	  1     30	    1000	0.9	1	90	resprout
BEAL2		300	40	   3	  2	45	     400	0.1	0	200	none
BEPA		200	15	   2	  2	60	    5000	0.8	1	110	resprout
CRDO2		100	5	   3      1     500         3000        0.5     1       90      resprout		
FRNI		200	30	   4	  2	100	    2000	0.8	10	150	resprout
LALA		180	30	   1	  2	40	     500	0	0	0	none				
PIGL		300	30	   4	  2	27	     300	0	0	0	none
PIMA		250	30	   3	  1	79	     158	0	0	0	none
PIBA2		250	5	   1	  3	16	      32	0	0	0	serotiny
PIRE		400	5	   4	  4	12	     275	0	0	0	none
PIST		450	20	   3	  3	60	     210	0	0	0	none
POBA2		200	8	   2	  3	200	    3000	0.8	1	200	resprout
POGR4		100	10	   1	  2	500	    5000	0.9	1	70	resprout
POTR5		150	10	   1	  2	500	    5000	0.9	1	60	resprout
PRVI 		200	10	   3	  1	500	    3000	0.5	10	200	resprout
QURU		250	25	   3	  2	3	    5000	0.5	0	45	resprout
SODE3		90	10	   3	  1	500	    3000	0.5	10	90	none
THOC2		800	30	   4	  1	45	      60	0.8	5	75	none
Shrub		90	5	   1	  1	30	     500	0.75	5	70	resprout	
